EMOTION,TEXT,cleaned_text
joy,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly.",day feel close partner friends. feel peac also experi close contact peopl regard greatly.
fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death.","everi time imagin someon love could contact seriou illness, even death."
anger,"When I had been obviously unjustly treated and had no possibility  
of elucidating this.",obvious unjustli treat possibl elucid this.
sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time.",think short time live relat period life think use short time.
disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating.",gather found involuntarili sit next two peopl express opinion consid low discriminating.
shame,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings.",realiz direct feel discont partner way tri put blame instead sort feeliings.
guilt,"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered.",feel guilti realiz consid materi thing import care relatives. feel self-centered.
joy,"After my girlfriend had taken her exam we went to her parent's  
place.",girlfriend taken exam went parent' place.
fear,"When, for the first time I realized the meaning of death.","when, first time realiz mean death."
anger,"When a car is overtaking another and I am forced to drive off the  
road.",car overtak anoth forc drive road.
sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand.","recent thought hard work take study, one want tri someth else. read theoret book english understand."
disgust,When I found a bristle in the liver paste tube.,found bristl liver past tube.
shame,"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important.","tire unmotivated, shout girlfriend brought neg side charact actual important."
guilt,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time.",think studi enough. weekend think abl accomplish someth time.
joy,When I pass an examination which I did not think I did well.,pass examin think well.
fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident.","one arrang meet someon person arriv late, meantim one start think could gone wrong e.g traffic accident."
anger,When one is unjustly accused of something one has not done.,one unjustli accus someth one done.
sadness,When one's studies seem hopelessly difficult and uninteresting.  ,one' studi seem hopelessli difficult uninteresting.
disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted.","one find someon know like one thought, instanc friend steal thing like that, quit unwarranted."
shame,"When one has been unjust, stupid towards someone else. ","one unjust, stupid toward someon else."
guilt,When one has neglected or been unjust to a good friend.,one neglect unjust good friend.
